# timestamp, image file
7.997542, 00137.png
8.047543, 00138.png
8.097545, 00139.png
8.147542, 00140.png
8.197545, 00141.png
8.247542, 00142.png
8.297543, 00143.png
8.347542, 00144.png
8.397542, 00145.png
8.447544, 00146.png
8.497542, 00148.png
8.547543, 00149.png
8.597543, 00150.png
8.647542, 00151.png
8.697542, 00152.png
8.747541, 00153.png
8.797543, 00154.png
8.847542, 00155.png
8.897542, 00156.png
8.947545, 00157.png
8.997541, 00158.png
9.047543, 00159.png
9.097542, 00160.png
9.147542, 00161.png
9.197543, 00162.png
9.247543, 00163.png
9.297543, 00164.png
9.347542, 00165.png
9.397542, 00166.png
9.447542, 00167.png
9.497541, 00168.png
9.547545, 00169.png
9.597542, 00170.png
9.647542, 00171.png
9.697542, 00172.png
9.747542, 00173.png
9.797543, 00174.png
9.847542, 00176.png
9.897542, 00177.png
9.947545, 00178.png
9.997544, 00179.png
10.047543, 00180.png
10.097542, 00181.png
10.147541, 00182.png
10.197542, 00183.png
10.247541, 00184.png
10.297543, 00185.png
10.347541, 00186.png
10.397542, 00187.png
10.447544, 00188.png
10.497542, 00189.png
10.547542, 00190.png
10.597542, 00191.png
10.647541, 00192.png
10.697543, 00193.png
10.747541, 00194.png
10.797542, 00195.png
10.847541, 00196.png
10.897544, 00197.png
10.947544, 00198.png
10.997541, 00199.png
11.047543, 00200.png
11.097542, 00201.png
11.147541, 00202.png
11.197542, 00203.png
11.247541, 00204.png
11.297546, 00205.png
11.347542, 00206.png
11.397541, 00207.png
11.447543, 00208.png
11.497542, 00210.png
11.547542, 00211.png
11.597542, 00212.png
11.647541, 00213.png
11.697542, 00214.png
11.747541, 00215.png
11.797542, 00216.png
11.847541, 00217.png
11.897541, 00218.png
11.947543, 00219.png
11.997541, 00220.png
12.047542, 00221.png
12.097542, 00222.png
12.147541, 00223.png
12.197543, 00224.png
12.247541, 00225.png
12.297542, 00226.png
12.347541, 00227.png
12.397541, 00228.png
12.447541, 00229.png
12.497542, 00230.png
12.547542, 00231.png
12.597541, 00232.png
12.647541, 00233.png
12.697542, 00234.png
12.747541, 00235.png
12.797541, 00236.png
12.847541, 00237.png
12.897542, 00238.png
12.947546, 00239.png
12.997541, 00240.png
13.047542, 00241.png
13.097541, 00242.png
13.147541, 00243.png
13.197542, 00244.png
13.247541, 00245.png
13.297541, 00246.png
13.347541, 00247.png
13.397541, 00248.png
13.447541, 00249.png
13.497541, 00250.png
13.547542, 00251.png
13.597541, 00252.png
13.647540, 00253.png
13.697542, 00254.png
13.747540, 00255.png
13.797543, 00256.png
13.847541, 00257.png
13.897542, 00258.png
13.947542, 00259.png
13.997540, 00260.png
14.047542, 00261.png
14.097541, 00262.png
14.147541, 00263.png
14.197541, 00264.png
14.247541, 00265.png
14.297542, 00266.png
14.347541, 00267.png
14.397541, 00268.png
14.447543, 00269.png
14.497540, 00270.png
14.547542, 00271.png
14.597541, 00272.png
14.647540, 00273.png
14.697541, 00274.png
14.747540, 00275.png
14.797541, 00276.png
14.847541, 00278.png
14.897541, 00279.png
14.947543, 00280.png
14.997540, 00281.png
15.047542, 00282.png
15.097543, 00283.png
15.147540, 00284.png
15.197542, 00285.png
15.247541, 00286.png
15.297541, 00287.png
15.347540, 00288.png
15.397541, 00289.png
15.447541, 00290.png
15.497541, 00291.png
15.547541, 00292.png
15.597541, 00293.png
15.647540, 00294.png
15.697540, 00295.png
15.747540, 00296.png
15.797541, 00297.png
15.847541, 00298.png
15.897541, 00299.png
15.947544, 00300.png
15.997540, 00301.png
16.047541, 00302.png
16.097541, 00303.png
16.147540, 00304.png
16.197541, 00305.png
16.247540, 00306.png
16.297541, 00307.png
16.347540, 00308.png
16.397540, 00309.png
16.447541, 00310.png
16.497541, 00311.png
16.547541, 00312.png
16.597540, 00313.png
16.647540, 00314.png
16.697542, 00315.png
16.747539, 00316.png
16.797541, 00317.png
16.847540, 00318.png
16.897540, 00319.png
16.947542, 00320.png
16.997539, 00321.png
17.047541, 00322.png
17.097540, 00323.png
17.147540, 00324.png
17.197540, 00325.png
17.247540, 00326.png
17.297541, 00327.png
17.347540, 00328.png
17.397540, 00329.png
17.447542, 00330.png
17.497540, 00331.png
17.547541, 00332.png
17.597540, 00333.png
17.647540, 00334.png
17.697540, 00335.png
17.747540, 00336.png
17.797541, 00337.png
17.847540, 00338.png
17.897540, 00339.png
17.947542, 00340.png
17.997539, 00341.png
18.047541, 00342.png
18.097540, 00343.png
18.147540, 00344.png
18.197541, 00345.png
18.247539, 00346.png
18.297540, 00347.png
18.347540, 00348.png
18.397540, 00349.png
18.447540, 00350.png
18.497540, 00351.png
