#  time, acc(x, y, z), gyro(x, y, z)
8.300931, -9.078813, -0.450110, 0.948104, -0.035154, -0.080960, -0.030893
8.304834, -9.193734, -0.507571, 1.005565, -0.047937, -0.092678, -0.026632
8.308493, -9.222465, -0.526724, 1.063026, -0.050067, -0.080960, -0.011718
8.312492, -9.232041, -0.526724, 1.177947, -0.056459, -0.070307, 0.000000
8.320891, -9.232041, -0.545878, 1.302446, -0.039415, -0.057524, 0.007457
8.325013, -9.241618, -0.545878, 1.359907, -0.041545, -0.054328, 0.012783
8.328678, -9.232041, -0.497994, 1.302446, -0.025566, -0.037284, 0.023436
8.332677, -9.260772, -0.469264, 1.369483, -0.010653, -0.033023, 0.021305
8.340844, -9.251195, -0.421380, 1.302446, 0.006392, -0.025566, 0.028762
8.344770, -9.241618, -0.383072, 1.244985, 0.013848, -0.018109, 0.034088
8.348438, -9.260772, -0.383072, 1.149217, 0.019175, -0.013848, 0.030893
8.352643, -9.212888, -0.354342, 1.158794, 0.020240, -0.007457, 0.030893
8.360839, -9.117120, -0.316035, 1.091756, 0.013848, -0.004261, 0.027697
8.364758, -9.078813, -0.287304, 1.043872, 0.011718, 0.004261, 0.011718
8.368428, -9.097966, -0.296881, 1.015141, 0.005326, 0.008522, 0.008522
8.372421, -9.126697, -0.335188, 0.995988, 0.009587, 0.008522, 0.004261
8.380793, -9.107543, -0.373495, 0.976834, 0.012783, 0.003196, 0.001065
8.384917, -9.145850, -0.363919, 0.900220, 0.002131, -0.008522, -0.002131
8.388588, -9.155427, -0.392649, 0.948104, -0.001065, -0.015979, -0.012783
8.392381, -9.184157, -0.430956, 0.900220, -0.003196, -0.012783, -0.011718
8.400814, -9.251195, -0.488417, 0.938527, -0.017044, -0.018109, -0.015979
8.404726, -9.251195, -0.497994, 0.986411, -0.036219, -0.014914, -0.007457
8.408535, -9.251195, -0.488417, 0.976834, -0.038350, -0.008522, -0.004261
8.412369, -9.232041, -0.488417, 1.005565, -0.054328, -0.002131, -0.004261
8.420743, -9.174581, -0.517148, 1.082179, -0.055394, 0.001065, 0.002131
8.424668, -9.260772, -0.497994, 1.082179, -0.052198, 0.002131, 0.003196
8.428328, -9.251195, -0.488417, 1.101333, -0.038350, 0.001065, 0.006392
8.432331, -9.222465, -0.497994, 1.120486, -0.039415, -0.007457, 0.014914
8.440731, -9.222465, -0.478840, 1.120486, -0.017044, -0.008522, 0.019175
8.444651, -9.241618, -0.497994, 1.120486, -0.009587, -0.012783, 0.030893
8.448324, -9.222465, -0.469264, 1.072602, -0.004261, -0.024501, 0.041545
8.452516, -9.241618, -0.450110, 1.082179, -0.006392, -0.022371, 0.046872
8.460692, -9.184157, -0.392649, 1.120486, 0.004261, -0.025566, 0.061785
8.464612, -9.184157, -0.373495, 1.082179, 0.003196, -0.028762, 0.068177
8.468432, -9.136273, -0.335188, 1.168370, 0.001065, -0.029827, 0.077764
8.472474, -9.126697, -0.316035, 1.225831, 0.014914, -0.023436, 0.079895
8.480679, -9.040505, -0.229843, 1.283292, 0.011718, -0.013848, 0.088417
8.484601, -8.992621, -0.181959, 1.283292, 0.020240, 0.003196, 0.084156
8.488265, -8.944737, -0.134075, 1.264138, 0.027697, 0.007457, 0.076699
8.492261, -8.916007, -0.076614, 1.206678, 0.039415, 0.008522, 0.073503
8.500665, -8.916007, -0.019154, 1.120486, 0.046872, 0.018109, 0.061785
8.504767, -8.906430, 0.047884, 1.005565, 0.050067, 0.010653, 0.043676
8.508427, -8.868123, 0.076614, 0.957681, 0.044741, 0.013848, 0.023436
8.512226, -8.791509, 0.086191, 0.948104, 0.021305, 0.013848, 0.000000
8.520623, -8.714894, 0.057461, 0.928950, 0.004261, 0.029827, -0.029827
8.524545, -8.781932, 0.009577, 0.900220, -0.021305, 0.053263, -0.045806
8.528218, -8.791509, -0.038307, 0.890643, -0.042611, 0.061785, -0.060720
