# timestamp, image file
7.997531, 00137.png
8.047531, 00138.png
8.097531, 00139.png
8.147531, 00140.png
8.197531, 00141.png
8.247531, 00142.png
8.297531, 00143.png
8.347531, 00144.png
8.397531, 00145.png
8.447531, 00146.png
8.497531, 00147.png
8.547531, 00149.png
8.597531, 00150.png
8.647531, 00151.png
8.697531, 00152.png
8.747531, 00153.png
8.797531, 00154.png
8.847531, 00155.png
8.897531, 00156.png
8.947531, 00157.png
8.997531, 00158.png
9.047531, 00159.png
9.097531, 00160.png
9.147531, 00161.png
9.197531, 00162.png
9.247531, 00163.png
9.297531, 00164.png
9.347530, 00165.png
9.397531, 00166.png
9.447530, 00167.png
9.497530, 00168.png
9.547531, 00169.png
9.597530, 00170.png
9.647530, 00171.png
9.697530, 00172.png
9.747530, 00173.png
9.797531, 00174.png
9.847530, 00175.png
9.897530, 00177.png
9.947531, 00178.png
9.997530, 00179.png
10.047530, 00180.png
10.097530, 00181.png
10.147530, 00182.png
10.197530, 00183.png
10.247530, 00184.png
10.297530, 00185.png
10.347530, 00186.png
10.397530, 00187.png
10.447530, 00188.png
10.497530, 00189.png
10.547530, 00190.png
10.597530, 00191.png
10.647530, 00192.png
10.697530, 00193.png
10.747530, 00194.png
10.797530, 00195.png
10.847530, 00196.png
10.897530, 00197.png
10.947530, 00198.png
10.997530, 00199.png
11.047530, 00200.png
11.097530, 00201.png
11.147530, 00202.png
11.197530, 00203.png
11.247530, 00204.png
11.297530, 00205.png
11.347530, 00206.png
11.397530, 00207.png
11.447530, 00208.png
11.497530, 00209.png
11.547530, 00211.png
11.597530, 00212.png
11.647530, 00213.png
11.697530, 00214.png
11.747530, 00215.png
11.797530, 00216.png
11.847530, 00217.png
11.897530, 00218.png
11.947530, 00219.png
11.997530, 00220.png
12.047530, 00221.png
12.097530, 00222.png
12.147530, 00223.png
12.197530, 00224.png
12.247530, 00225.png
12.297530, 00226.png
12.347530, 00227.png
12.397530, 00228.png
12.447530, 00229.png
12.497530, 00230.png
12.547530, 00231.png
12.597530, 00232.png
12.647530, 00233.png
12.697530, 00234.png
12.747530, 00235.png
12.797530, 00236.png
12.847530, 00237.png
12.897530, 00238.png
12.947530, 00239.png
12.997530, 00240.png
13.047530, 00241.png
13.097530, 00242.png
13.147530, 00243.png
13.197530, 00244.png
13.247529, 00245.png
13.297530, 00246.png
13.347530, 00247.png
13.397529, 00248.png
13.447529, 00249.png
13.497529, 00250.png
13.547529, 00251.png
13.597529, 00252.png
13.647529, 00253.png
13.697530, 00254.png
13.747529, 00255.png
13.797530, 00256.png
13.847529, 00257.png
13.897530, 00258.png
13.947530, 00259.png
13.997529, 00260.png
14.047529, 00261.png
14.097529, 00262.png
14.147529, 00263.png
14.197529, 00264.png
14.247529, 00265.png
14.297529, 00266.png
14.347529, 00267.png
14.397529, 00268.png
14.447529, 00269.png
14.497529, 00270.png
14.547529, 00271.png
14.597529, 00272.png
14.647529, 00273.png
14.697529, 00274.png
14.747529, 00275.png
14.797529, 00276.png
14.847529, 00277.png
14.897529, 00279.png
14.947529, 00280.png
14.997529, 00281.png
15.047529, 00282.png
15.097529, 00283.png
15.147529, 00284.png
15.197529, 00285.png
15.247529, 00286.png
15.297529, 00287.png
15.347529, 00288.png
15.397529, 00289.png
15.447529, 00290.png
15.497529, 00291.png
15.547529, 00292.png
15.597529, 00293.png
15.647529, 00294.png
15.697529, 00295.png
15.747529, 00296.png
15.797529, 00297.png
15.847529, 00298.png
15.897529, 00299.png
15.947529, 00300.png
15.997529, 00301.png
16.047529, 00302.png
16.097529, 00303.png
16.147529, 00304.png
16.197529, 00305.png
16.247529, 00306.png
16.297529, 00307.png
16.347529, 00308.png
16.397529, 00309.png
16.447529, 00310.png
16.497529, 00311.png
16.547529, 00312.png
16.597529, 00313.png
16.647529, 00314.png
16.697529, 00315.png
16.747529, 00316.png
16.797529, 00317.png
16.847529, 00318.png
16.897529, 00319.png
16.947529, 00320.png
16.997529, 00321.png
17.047529, 00322.png
17.097529, 00323.png
17.147529, 00324.png
17.197529, 00325.png
17.247529, 00326.png
17.297529, 00327.png
17.347529, 00328.png
17.397529, 00329.png
17.447529, 00330.png
17.497528, 00331.png
17.547529, 00332.png
17.597529, 00333.png
17.647528, 00334.png
17.697529, 00335.png
17.747528, 00336.png
17.797529, 00337.png
17.847528, 00338.png
17.897528, 00339.png
17.947528, 00340.png
17.997528, 00341.png
18.047529, 00342.png
18.097528, 00343.png
18.147528, 00344.png
18.197529, 00345.png
18.247528, 00346.png
18.297528, 00347.png
18.347528, 00348.png
18.397528, 00349.png
18.447528, 00350.png
18.497528, 00351.png
18.547528, 00352.png
18.597528, 00353.png
18.647528, 00354.png
18.697528, 00355.png
18.747528, 00356.png
18.797528, 00357.png
18.847528, 00358.png
18.897528, 00359.png
18.947528, 00360.png
18.997528, 00361.png
19.047528, 00362.png
19.097528, 00363.png
19.147528, 00364.png
19.197528, 00365.png
19.247528, 00366.png
19.297528, 00367.png
19.347528, 00368.png
19.397528, 00369.png
19.447528, 00370.png
19.497528, 00371.png
19.547528, 00372.png
19.597528, 00373.png
19.647528, 00374.png
19.697528, 00375.png
19.747528, 00376.png
19.797528, 00377.png
19.847528, 00379.png
19.897528, 00380.png
19.947528, 00381.png
19.997528, 00382.png
20.047528, 00383.png
20.097528, 00384.png
20.147528, 00385.png
20.197528, 00386.png
20.247528, 00387.png
20.297528, 00388.png
20.347528, 00389.png
20.397528, 00390.png
20.447528, 00391.png
20.497528, 00392.png
20.547528, 00393.png
20.597528, 00394.png
20.647528, 00395.png
20.697528, 00396.png
20.747528, 00397.png
20.797528, 00398.png
20.847528, 00399.png
20.897528, 00400.png
